item_id,task_id,domain_a,domain_b,correct_answer_a,correct_answer_b,answer_type_a,answer_type_b
HB_EXP9_0001,fixed_fac_ari_028_04,factual,arithmetic,4,34560,exact_numeric,exact_numeric
HB_EXP9_0002,fixed_fac_ari_028_03,factual,arithmetic,Mercury,4.1,short_text,exact_numeric
HB_EXP9_0003,fixed_ari_fac_005_04,arithmetic,factual,34560,4,exact_numeric,exact_numeric
HB_EXP9_0004,fixed_ari_fac_005_07,arithmetic,factual,5100000,Brasília,exact_numeric,short_text
HB_EXP9_0005,fixed_fac_ari_028_07,factual,arithmetic,Brasília,5100000,short_text,exact_numeric
HB_EXP9_0006,fixed_fac_ari_028_02,factual,arithmetic,Brasília,5100000,short_text,exact_numeric
HB_EXP9_0007,fixed_ari_fac_005_02,arithmetic,factual,5100000,Brasília,exact_numeric,short_text
HB_EXP9_0008,fixed_fac_ari_028_08,factual,arithmetic,Mercury,4.1,short_text,exact_numeric
HB_EXP9_0009,fixed_ari_fac_005_08,arithmetic,factual,4.1,Mercury,exact_numeric,short_text
HB_EXP9_0010,fixed_ari_fac_005_03,arithmetic,factual,4.1,Mercury,exact_numeric,short_text
HB_EXP9_0011,fixed_fac_ari_028_00,factual,arithmetic,6,27.60,exact_numeric,exact_numeric
HB_EXP9_0012,fixed_ari_fac_005_05,arithmetic,factual,27.60,6,exact_numeric,exact_numeric
HB_EXP9_0013,fixed_ari_lin_002_05,arithmetic,linguistic,4420,are should be is,exact_numeric,short_text
HB_EXP9_0014,fixed_ari_lin_aug_000,arithmetic,linguistic,4500,are should be is,exact_numeric,short_text
HB_EXP9_0015,fixed_ari_lin_002_00,arithmetic,linguistic,4420,are should be is,exact_numeric,short_text
HB_EXP9_0016,fixed_ari_lin_002_04,arithmetic,linguistic,830,metaphor,exact_numeric,short_text
HB_EXP9_0017,fixed_ari_lin_aug_001,arithmetic,linguistic,43900,B,exact_numeric,multiple_choice
HB_EXP9_0018,fixed_ari_lin_002_03,arithmetic,linguistic,43900,adverb,exact_numeric,short_text
HB_EXP9_0019,fixed_ari_lin_002_08,arithmetic,linguistic,43900,adverb,exact_numeric,short_text
HB_EXP9_0020,fixed_ari_lin_002_01,arithmetic,linguistic,462.5,B,exact_numeric,multiple_choice
HB_EXP9_0021,fixed_ari_lin_002_02,arithmetic,linguistic,4500,The report was submitted by the team.,exact_numeric,short_text
HB_EXP9_0022,fixed_ari_lin_002_07,arithmetic,linguistic,4500,The report was submitted by the team.,exact_numeric,short_text
HB_EXP9_0023,fixed_ari_lin_002_06,arithmetic,linguistic,462.5,B,exact_numeric,multiple_choice
HB_EXP9_0024,fixed_ari_lin_aug_002,arithmetic,linguistic,462.5,metaphor,exact_numeric,short_text
HB_EXP9_0025,fixed_ari_log_aug_001,arithmetic,logical,30000,no,exact_numeric,boolean
HB_EXP9_0026,fixed_ari_log_aug_000,arithmetic,logical,43900,no,exact_numeric,boolean
HB_EXP9_0027,fixed_ari_log_003_01,arithmetic,logical,30000,yes,exact_numeric,boolean
HB_EXP9_0028,fixed_ari_log_003_07,arithmetic,logical,1397,no,exact_numeric,boolean
HB_EXP9_0029,fixed_ari_log_003_06,arithmetic,logical,30000,yes,exact_numeric,boolean
HB_EXP9_0030,fixed_ari_log_003_00,arithmetic,logical,43900,no,exact_numeric,boolean
HB_EXP9_0031,fixed_ari_log_aug_002,arithmetic,logical,30000,no,exact_numeric,boolean
HB_EXP9_0032,fixed_ari_log_003_02,arithmetic,logical,1397,no,exact_numeric,boolean
HB_EXP9_0033,fixed_ari_log_003_04,arithmetic,logical,725,yes,exact_numeric,boolean
HB_EXP9_0034,fixed_ari_log_003_05,arithmetic,logical,43900,no,exact_numeric,boolean
HB_EXP9_0035,fixed_ari_log_003_08,arithmetic,logical,39600,no,exact_numeric,boolean
HB_EXP9_0036,fixed_ari_log_003_03,arithmetic,logical,39600,no,exact_numeric,boolean
HB_EXP9_0037,fixed_ari_pro_006_05,arithmetic,procedural,1862,no,exact_numeric,boolean
HB_EXP9_0038,fixed_ari_pro_006_08,arithmetic,procedural,42,no,exact_numeric,boolean
HB_EXP9_0039,fixed_ari_pro_006_02,arithmetic,procedural,58400,no,exact_numeric,boolean
HB_EXP9_0040,fixed_ari_pro_aug_003,arithmetic,procedural,1862,no,exact_numeric,boolean
HB_EXP9_0041,fixed_ari_pro_006_03,arithmetic,procedural,42,no,exact_numeric,boolean
HB_EXP9_0042,fixed_ari_pro_006_07,arithmetic,procedural,58400,no,exact_numeric,boolean
HB_EXP9_0043,fixed_ari_pro_006_00,arithmetic,procedural,1862,no,exact_numeric,boolean
HB_EXP9_0044,fixed_ari_pro_006_04,arithmetic,procedural,125,yes,exact_numeric,boolean
HB_EXP9_0045,fixed_ari_pro_aug_001,arithmetic,procedural,125,no,exact_numeric,boolean
HB_EXP9_0046,fixed_ari_pro_006_06,arithmetic,procedural,289,no,exact_numeric,boolean
HB_EXP9_0047,fixed_ari_pro_aug_002,arithmetic,procedural,42,no,exact_numeric,boolean
HB_EXP9_0048,fixed_ari_pro_006_01,arithmetic,procedural,289,no,exact_numeric,boolean
HB_EXP9_0049,fixed_ari_soc_004_08,arithmetic,social,15.25,C,exact_numeric,multiple_choice
HB_EXP9_0050,fixed_ari_soc_004_03,arithmetic,social,15.25,C,exact_numeric,multiple_choice
HB_EXP9_0051,fixed_ari_soc_004_05,arithmetic,social,12600,B,exact_numeric,multiple_choice
HB_EXP9_0052,fixed_ari_soc_004_07,arithmetic,social,389.4,B,exact_numeric,multiple_choice
HB_EXP9_0053,fixed_ari_soc_004_04,arithmetic,social,159,respect for shared workspace or noise etiquette,exact_numeric,short_text
HB_EXP9_0054,fixed_ari_soc_004_02,arithmetic,social,389.4,B,exact_numeric,multiple_choice
HB_EXP9_0055,fixed_ari_soc_004_06,arithmetic,social,56700,B,exact_numeric,multiple_choice
HB_EXP9_0056,fixed_ari_soc_aug_002,arithmetic,social,159,C,exact_numeric,multiple_choice
HB_EXP9_0057,fixed_ari_soc_004_00,arithmetic,social,12600,B,exact_numeric,multiple_choice
HB_EXP9_0058,fixed_ari_soc_004_01,arithmetic,social,56700,B,exact_numeric,multiple_choice
HB_EXP9_0059,fixed_ari_soc_aug_000,arithmetic,social,15.25,B,exact_numeric,multiple_choice
HB_EXP9_0060,fixed_ari_soc_aug_004,arithmetic,social,56700,B,exact_numeric,multiple_choice
HB_EXP9_0061,fixed_spa_ari_007_08,spatial,arithmetic,37.44,272,exact_numeric,exact_numeric
HB_EXP9_0062,fixed_spa_ari_007_03,spatial,arithmetic,37.44,272,exact_numeric,exact_numeric
HB_EXP9_0063,fixed_spa_ari_007_07,spatial,arithmetic,50.2,5,exact_numeric,exact_numeric
HB_EXP9_0064,fixed_spa_ari_007_04,spatial,arithmetic,2000,6667,exact_numeric,exact_numeric
HB_EXP9_0065,fixed_spa_ari_007_02,spatial,arithmetic,50.2,5,exact_numeric,exact_numeric
HB_EXP9_0066,fixed_ari_spa_000_07,arithmetic,spatial,3328,4,exact_numeric,exact_numeric
HB_EXP9_0067,fixed_spa_ari_007_06,spatial,arithmetic,22,748,exact_numeric,exact_numeric
HB_EXP9_0068,fixed_spa_ari_007_01,spatial,arithmetic,22,748,exact_numeric,exact_numeric
HB_EXP9_0069,fixed_ari_spa_000_03,arithmetic,spatial,832.5,32,exact_numeric,exact_numeric
HB_EXP9_0070,fixed_ari_spa_000_02,arithmetic,spatial,3328,4,exact_numeric,exact_numeric
HB_EXP9_0071,fixed_ari_spa_000_08,arithmetic,spatial,832.5,32,exact_numeric,exact_numeric
HB_EXP9_0072,fixed_ari_spa_000_00,arithmetic,spatial,600,36,exact_numeric,exact_numeric
HB_EXP9_0073,fixed_tem_ari_014_04,temporal,arithmetic,7 hours 35 minutes,364,short_text,exact_numeric
HB_EXP9_0074,fixed_tem_ari_014_06,temporal,arithmetic,5 hours 45 minutes,1200,short_text,exact_numeric
HB_EXP9_0075,fixed_tem_ari_014_07,temporal,arithmetic,3,2550,exact_numeric,exact_numeric
HB_EXP9_0076,fixed_ari_tem_001_01,arithmetic,temporal,18820,May 30,exact_numeric,short_text
HB_EXP9_0077,fixed_tem_ari_014_00,temporal,arithmetic,6 hours 15 minutes,531.25,short_text,exact_numeric
HB_EXP9_0078,fixed_ari_tem_001_06,arithmetic,temporal,18820,May 30,exact_numeric,short_text
HB_EXP9_0079,fixed_ari_tem_001_05,arithmetic,temporal,1068.75,Thursday at 5:00 PM,exact_numeric,short_text
HB_EXP9_0080,fixed_tem_ari_014_02,temporal,arithmetic,3,2550,exact_numeric,exact_numeric
HB_EXP9_0081,fixed_ari_tem_001_03,arithmetic,temporal,6543.75,7.5,exact_numeric,exact_numeric
HB_EXP9_0082,fixed_ari_tem_001_00,arithmetic,temporal,1068.75,Thursday at 5:00 PM,exact_numeric,short_text
HB_EXP9_0083,fixed_tem_ari_014_05,temporal,arithmetic,6 hours 15 minutes,531.25,short_text,exact_numeric
HB_EXP9_0084,fixed_tem_ari_014_01,temporal,arithmetic,5 hours 45 minutes,1200,short_text,exact_numeric
HB_EXP9_0085,fixed_lin_fac_020_03,linguistic,factual,B,206,multiple_choice,exact_numeric
HB_EXP9_0086,fixed_lin_fac_020_08,linguistic,factual,B,206,multiple_choice,exact_numeric
HB_EXP9_0087,fixed_fac_lin_aug_000,factual,linguistic,Canberra,onomatopoeia,short_text,short_text
HB_EXP9_0088,fixed_lin_fac_020_01,linguistic,factual,C,1945,multiple_choice,exact_numeric
HB_EXP9_0089,fixed_lin_fac_020_02,linguistic,factual,drank should be drunk,Canberra,short_text,short_text
HB_EXP9_0090,fixed_lin_fac_020_07,linguistic,factual,drank should be drunk,Canberra,short_text,short_text
HB_EXP9_0091,fixed_fac_lin_aug_001,factual,linguistic,H2O,C,short_text,multiple_choice
HB_EXP9_0092,fixed_lin_fac_020_06,linguistic,factual,C,1945,multiple_choice,exact_numeric
HB_EXP9_0093,fixed_lin_fac_020_00,linguistic,factual,onomatopoeia,H2O,short_text,short_text
HB_EXP9_0094,fixed_lin_fac_020_05,linguistic,factual,onomatopoeia,H2O,short_text,short_text
HB_EXP9_0095,fixed_fac_lin_aug_002,factual,linguistic,Leonardo da Vinci,drank should be drunk,short_text,short_text
HB_EXP9_0096,fixed_lin_fac_020_04,linguistic,factual,B,Leonardo da Vinci,multiple_choice,short_text
HB_EXP9_0097,fixed_log_fac_024_01,logical,factual,not necessarily,1945,short_text,exact_numeric
HB_EXP9_0098,fixed_log_fac_024_08,logical,factual,no,Vitamin D,boolean,short_text
HB_EXP9_0099,fixed_log_fac_024_03,logical,factual,no,Vitamin D,boolean,short_text
HB_EXP9_0100,fixed_log_fac_024_06,logical,factual,not necessarily,1945,short_text,exact_numeric
HB_EXP9_0101,fixed_fac_log_aug_000,factual,logical,Vitamin D,not necessarily,short_text,short_text
HB_EXP9_0102,fixed_log_fac_024_07,logical,factual,organism X is not a living organism by that definition,photosynthesis,short_text,short_text
HB_EXP9_0103,fixed_fac_log_aug_002,factual,logical,nitrogen,This shape is not a square,short_text,short_text
HB_EXP9_0104,fixed_fac_log_aug_001,factual,logical,photosynthesis,organism X is not a living organism by that definition,short_text,short_text
HB_EXP9_0105,fixed_log_fac_024_04,logical,factual,This shape is not a square,6,short_text,exact_numeric
HB_EXP9_0106,fixed_log_fac_024_02,logical,factual,organism X is not a living organism by that definition,photosynthesis,short_text,short_text
HB_EXP9_0107,fixed_log_fac_024_00,logical,factual,yes,nitrogen,boolean,short_text
HB_EXP9_0108,fixed_log_fac_024_05,logical,factual,yes,nitrogen,boolean,short_text
HB_EXP9_0109,fixed_fac_pro_030_08,factual,procedural,Na,no,short_text,boolean
HB_EXP9_0110,fixed_fac_pro_aug_002,factual,procedural,carbon dioxide,no,short_text,boolean
HB_EXP9_0111,fixed_fac_pro_030_07,factual,procedural,60 to 100,no,short_text,boolean
HB_EXP9_0112,fixed_fac_pro_030_04,factual,procedural,"An object at rest stays at rest, and an object in motion stays in motion, unless acted upon by an external force.",no,short_text,boolean
HB_EXP9_0113,fixed_fac_pro_030_03,factual,procedural,Na,no,short_text,boolean
HB_EXP9_0114,fixed_fac_pro_aug_000,factual,procedural,carbon dioxide,no,short_text,boolean
HB_EXP9_0115,fixed_fac_pro_030_01,factual,procedural,cardiopulmonary resuscitation,no,short_text,boolean
HB_EXP9_0116,fixed_fac_pro_030_06,factual,procedural,cardiopulmonary resuscitation,no,short_text,boolean
HB_EXP9_0117,fixed_fac_pro_030_02,factual,procedural,60 to 100,no,short_text,boolean
HB_EXP9_0118,fixed_fac_pro_aug_001,factual,procedural,60 to 100,no,short_text,boolean
HB_EXP9_0119,fixed_fac_pro_030_00,factual,procedural,carbon dioxide,no,short_text,boolean
HB_EXP9_0120,fixed_fac_pro_030_05,factual,procedural,carbon dioxide,no,short_text,boolean
HB_EXP9_0121,fixed_fac_soc_029_07,factual,social,carbon dioxide,A,short_text,multiple_choice
HB_EXP9_0122,fixed_fac_soc_029_02,factual,social,carbon dioxide,A,short_text,multiple_choice
HB_EXP9_0123,fixed_fac_soc_029_03,factual,social,C,equitable participation or turn-taking,multiple_choice,short_text
HB_EXP9_0124,fixed_fac_soc_029_08,factual,social,C,equitable participation or turn-taking,multiple_choice,short_text
HB_EXP9_0125,fixed_fac_soc_029_05,factual,social,C,Receive with both hands and examine it respectfully.,multiple_choice,short_text
HB_EXP9_0126,fixed_fac_soc_029_00,factual,social,C,Receive with both hands and examine it respectfully.,multiple_choice,short_text
HB_EXP9_0127,fixed_soc_fac_026_06,social,factual,turn-taking or active listening norms,C,short_text,multiple_choice
HB_EXP9_0128,fixed_soc_fac_026_04,social,factual,no,Jane Austen,boolean,short_text
HB_EXP9_0129,fixed_soc_fac_026_01,social,factual,turn-taking or active listening norms,C,short_text,multiple_choice
HB_EXP9_0130,fixed_soc_fac_026_05,social,factual,B,1948,multiple_choice,exact_numeric
HB_EXP9_0131,fixed_fac_soc_029_06,factual,social,1990s,B,short_text,multiple_choice
HB_EXP9_0132,fixed_fac_soc_029_04,factual,social,1969,yes,exact_numeric,boolean
HB_EXP9_0133,fixed_spa_fac_012_07,spatial,factual,0.000524,cell,exact_numeric,short_text
HB_EXP9_0134,fixed_spa_fac_012_02,spatial,factual,0.000524,cell,exact_numeric,short_text
HB_EXP9_0135,fixed_spa_fac_012_04,spatial,factual,440,Mariana Trench,exact_numeric,short_text
HB_EXP9_0136,fixed_fac_spa_aug_001,factual,spatial,cell,440,short_text,exact_numeric
HB_EXP9_0137,fixed_spa_fac_012_06,spatial,factual,1350,Paris,exact_numeric,short_text
HB_EXP9_0138,fixed_spa_fac_012_01,spatial,factual,1350,Paris,exact_numeric,short_text
HB_EXP9_0139,fixed_fac_spa_aug_002,factual,spatial,cell,86,short_text,exact_numeric
HB_EXP9_0140,fixed_fac_spa_aug_000,factual,spatial,Russia,1350,short_text,exact_numeric
HB_EXP9_0141,fixed_spa_fac_012_03,spatial,factual,86,5,exact_numeric,exact_numeric
HB_EXP9_0142,fixed_spa_fac_012_05,spatial,factual,17300000,Russia,exact_numeric,short_text
HB_EXP9_0143,fixed_spa_fac_012_00,spatial,factual,17300000,Russia,exact_numeric,short_text
HB_EXP9_0144,fixed_spa_fac_012_08,spatial,factual,86,5,exact_numeric,exact_numeric
HB_EXP9_0145,fixed_tem_fac_017_02,temporal,factual,7.5 hours,Nile,short_text,short_text
HB_EXP9_0146,fixed_tem_fac_017_04,temporal,factual,1.9,8,exact_numeric,exact_numeric
HB_EXP9_0147,fixed_tem_fac_017_07,temporal,factual,7.5 hours,Nile,short_text,short_text
HB_EXP9_0148,fixed_fac_tem_aug_002,factual,temporal,mitochondria,7.5 hours,short_text,short_text
HB_EXP9_0149,fixed_fac_tem_aug_001,factual,temporal,8,7.5 hours,exact_numeric,short_text
HB_EXP9_0150,fixed_fac_tem_aug_000,factual,temporal,mitochondria,1.9,short_text,exact_numeric
HB_EXP9_0151,fixed_tem_fac_017_06,temporal,factual,25,mitochondria,exact_numeric,short_text
HB_EXP9_0152,fixed_tem_fac_017_05,temporal,factual,4,George Washington,exact_numeric,short_text
HB_EXP9_0153,fixed_tem_fac_017_08,temporal,factual,120,France,exact_numeric,short_text
HB_EXP9_0154,fixed_tem_fac_017_01,temporal,factual,25,mitochondria,exact_numeric,short_text
HB_EXP9_0155,fixed_tem_fac_017_03,temporal,factual,120,France,exact_numeric,short_text
HB_EXP9_0156,fixed_tem_fac_017_00,temporal,factual,4,George Washington,exact_numeric,short_text
HB_EXP9_0157,fixed_lin_log_019_01,linguistic,logical,needs,B,short_text,multiple_choice
HB_EXP9_0158,fixed_lin_log_019_07,linguistic,logical,me,no,short_text,boolean
HB_EXP9_0159,fixed_log_lin_023_02,logical,linguistic,yes,The team completed the audit on Friday.,boolean,short_text
HB_EXP9_0160,fixed_lin_log_019_02,linguistic,logical,me,no,short_text,boolean
HB_EXP9_0161,fixed_log_lin_023_07,logical,linguistic,yes,The team completed the audit on Friday.,boolean,short_text
HB_EXP9_0162,fixed_log_lin_023_03,logical,linguistic,true,C,boolean,multiple_choice
