request_id,model_latency_ms,resolver_latency_ms,total_latency_ms,cost_usd,tokens_in,tokens_out
EV_0001,1447,15534,16981,9.994473,750,453
EV_0002,1026,17869,18895,8.656330,475,742
EV_0003,668,9221,9889,3.889700,1914,713
EV_0004,882,13592,14474,5.082227,955,867
EV_0005,1540,12921,14461,7.309730,1417,830
EV_0006,1111,3843,4954,7.451220,2670,199
EV_0007,880,12658,13538,6.838717,381,395
EV_0008,1191,11525,12716,5.725583,2638,382
EV_0009,1220,13570,14790,7.071620,358,525
EV_0010,676,2133,2809,0.013440,787,207
EV_0011,679,7085,7764,7.768170,2064,463
EV_0012,768,10490,11258,12.312520,2022,747
EV_0013,1090,4984,6074,4.584070,450,227
EV_0014,1286,10774,12060,5.209445,2717,255
EV_0015,1418,5544,6962,12.692950,2377,330
EV_0016,1181,18765,19946,1.425760,2709,728
EV_0017,714,1478,2192,0.011240,923,393
EV_0018,569,2448,3017,0.014630,364,384
EV_0019,1064,14787,15851,3.152347,931,200
EV_0020,663,14141,14804,6.359493,1080,406
EV_0021,1055,1184,2239,0.013840,942,925
EV_0022,795,8587,9382,0.669360,846,892
EV_0023,369,19263,19632,9.139620,1163,760
EV_0024,419,15716,16135,12.175660,2381,632
EV_0025,839,10758,11597,7.823680,548,238
EV_0026,510,10739,11249,4.875430,789,199
EV_0027,783,1946,2729,0.006740,871,721
EV_0028,421,2093,2514,0.012150,2105,365
EV_0029,1110,16834,17944,10.933620,1585,432
EV_0030,538,10797,11335,10.290890,1314,924
EV_0031,1404,13176,14580,4.118933,1893,975
EV_0032,941,2233,3174,0.013070,1306,463
EV_0033,702,5918,6620,5.166210,384,296
EV_0034,1427,8177,9604,9.078560,750,681
EV_0035,432,672,1104,3.988650,555,212
EV_0036,1270,10456,11726,7.121460,2008,148
EV_0037,1400,8071,9471,5.474770,2544,761
EV_0038,1331,10091,11422,5.377220,1652,608
EV_0039,1410,2130,3540,5.349750,2726,134
EV_0040,1242,14795,16037,2.564970,814,662
EV_0041,1107,12994,14101,7.296460,1933,734
EV_0042,1409,1289,2698,3.847710,1011,276
EV_0043,860,19387,20247,7.577280,305,122
EV_0044,1246,16682,17928,9.363940,2545,170
EV_0045,1004,13425,14429,4.889475,1879,688
EV_0046,1205,14343,15548,5.032170,1118,532
EV_0047,1545,15076,16621,5.417360,263,232
EV_0048,680,10661,11341,9.027677,636,756
EV_0049,376,12541,12917,8.511610,2319,770
EV_0050,1048,15301,16349,10.535000,1646,671
EV_0051,1243,1580,2823,0.007420,1178,582
EV_0052,1377,14516,15893,8.623670,2307,850
EV_0053,408,10612,11020,6.678910,1522,914
EV_0054,761,13495,14256,5.104480,2761,703
EV_0055,646,3400,4046,7.904210,2460,118
EV_0056,1119,13389,14508,5.345680,953,612
EV_0057,594,16445,17039,2.803947,2437,573
EV_0058,709,20934,21643,13.067950,2010,86
EV_0059,1128,16926,18054,6.069840,2775,771
EV_0060,1511,2628,4139,6.186750,2761,341
EV_0061,1431,12729,14160,10.367783,1958,657
EV_0062,1059,9772,10831,8.215320,2058,564
EV_0063,592,15124,15716,11.706920,1702,901
EV_0064,823,11769,12592,4.951370,1421,449
EV_0065,840,2108,2948,0.011330,1451,527
EV_0066,861,8586,9447,6.687920,1481,369
EV_0067,566,8882,9448,0.068380,2127,578
EV_0068,706,2350,3056,0.014080,824,587
EV_0069,468,1497,1965,0.014360,2532,757
EV_0070,1335,15266,16601,12.138130,2207,658
EV_0071,769,12508,13277,12.176810,253,432
EV_0072,1473,19131,20604,3.808330,1375,482
EV_0073,1376,14290,15666,7.712870,223,779
EV_0074,1367,1370,2737,0.016540,1833,977
EV_0075,945,11029,11974,5.897120,1928,182
EV_0076,671,5811,6482,2.887350,338,494
EV_0077,725,6952,7677,8.750090,1548,651
EV_0078,585,2523,3108,0.006830,1784,289
EV_0079,959,1035,1994,0.013950,2521,397
EV_0080,747,16338,17085,7.305220,977,594
EV_0081,404,1661,2065,0.017810,2581,890
EV_0082,1547,11430,12977,6.930103,1821,729
EV_0083,769,9702,10471,7.357490,398,803
EV_0084,1216,7705,8921,4.018910,1296,187
EV_0085,657,7762,8419,12.314480,823,924
EV_0086,625,1150,1775,0.012760,1432,484
EV_0087,1435,6069,7504,9.680410,654,222
EV_0088,750,6770,7520,13.792620,1749,792
EV_0089,436,16168,16604,3.660020,1537,347
EV_0090,792,2691,3483,0.010810,2221,343
EV_0091,509,1618,2127,0.009250,622,562
EV_0092,446,14633,15079,5.436550,1483,685
EV_0093,1405,12390,13795,13.646290,553,649
EV_0094,1526,6420,7946,4.191560,1989,826
EV_0095,1104,10321,11425,8.442913,1338,674
EV_0096,916,8602,9518,6.267560,2069,347
EV_0097,395,7758,8153,5.656135,2501,862
EV_0098,362,11323,11685,4.401590,531,174
EV_0099,882,14661,15543,3.531530,2670,504
EV_0100,790,1465,2255,0.012320,2021,474
EV_0101,1417,13459,14876,5.114005,1351,979
EV_0102,1402,14763,16165,9.095930,2259,939
EV_0103,1106,1440,2546,0.014410,2156,788
EV_0104,479,15031,15510,6.265815,665,642
EV_0105,1038,12398,13436,6.245150,966,95
EV_0106,424,13794,14218,3.976500,1904,735
EV_0107,1287,11912,13199,3.133310,1146,510
EV_0108,1228,16130,17358,4.633520,1436,568
EV_0109,750,1276,2026,4.275430,2241,525
EV_0110,435,15071,15506,13.258080,1640,934
EV_0111,1284,12006,13290,1.202140,1012,730
EV_0112,722,1849,2571,11.887360,1652,92
EV_0113,415,21603,22018,7.359700,1449,527
EV_0114,974,5368,6342,0.900780,2695,635
EV_0115,1053,15616,16669,2.891590,2812,157
EV_0116,597,10277,10874,7.014797,1727,710
EV_0117,938,2249,3187,0.012940,2672,282
EV_0118,882,17098,17980,2.635440,971,971
EV_0119,987,11337,12324,9.462303,2069,817
EV_0120,680,1158,1838,0.012870,2686,453
EV_0121,768,16268,17036,3.711190,606,739
EV_0122,1547,2626,4173,0.013860,385,153
EV_0123,567,1479,2046,0.005330,2740,179
EV_0124,624,15879,16503,4.429580,2184,959
EV_0125,514,9686,10200,7.399100,1499,391
EV_0126,478,11562,12040,4.197847,2811,191
EV_0127,751,2678,3429,0.013400,1409,513
EV_0128,892,17295,18187,13.965770,1829,238
EV_0129,1027,2158,3185,0.008240,2139,719
EV_0130,518,1166,1684,0.007270,1536,580
EV_0131,932,5316,6248,9.967880,401,904
EV_0132,1049,15967,17016,8.536627,344,789
EV_0133,1209,13770,14979,5.856313,1047,546
EV_0134,1137,10147,11284,2.892577,2706,159
EV_0135,1180,21103,22283,12.353480,1975,902
EV_0136,885,6688,7573,11.357937,2196,473
EV_0137,1412,13372,14784,8.194190,2276,134
EV_0138,1112,4404,5516,6.337720,2148,578
EV_0139,1052,13884,14936,10.195760,2067,430
EV_0140,903,9887,10790,6.200630,2790,86
EV_0141,1390,4273,5663,2.695237,884,775
EV_0142,772,6178,6950,2.284790,1400,205
EV_0143,821,4931,5752,8.111420,2568,403
EV_0144,693,10466,11159,6.786310,1198,286
EV_0145,1185,2593,3778,0.010860,657,90
EV_0146,911,10264,11175,12.499430,899,368
EV_0147,438,2138,2576,0.008370,2254,929
EV_0148,1371,7782,9153,6.878303,1039,293
EV_0149,1324,2216,3540,0.011550,1581,441
EV_0150,969,2384,3353,0.010360,2015,970
EV_0151,1546,12915,14461,6.179060,2520,844
EV_0152,1327,10338,11665,4.262590,483,471
EV_0153,1137,7080,8217,4.789355,2012,664
EV_0154,408,8497,8905,0.664040,1623,737
EV_0155,1445,2029,3474,0.008050,691,745
EV_0156,1100,2969,4069,5.525770,1707,118
EV_0157,687,20258,20945,2.348020,340,86
EV_0158,451,13155,13606,4.795890,1802,748
EV_0159,1374,13954,15328,1.930070,1625,581
EV_0160,660,1115,1775,0.014530,2805,198
EV_0161,1474,6677,8151,8.135240,814,688
EV_0162,1050,2123,3173,0.013910,1338,898
EV_0163,707,20206,20913,2.553950,1319,702
EV_0164,1315,1062,2377,0.013260,1583,959
EV_0165,1382,10115,11497,8.513460,1751,242
EV_0166,944,10979,11923,7.746810,2328,261
EV_0167,1102,2310,3412,0.013960,1786,596
EV_0168,643,8220,8863,1.347860,1402,963
EV_0169,875,2667,3542,0.011980,2489,454
EV_0170,1472,16373,17845,6.547610,1515,585
EV_0171,1058,8320,9378,2.882937,1732,825
EV_0172,1190,1253,2443,10.654570,1559,840
EV_0173,809,421,1230,7.286840,2818,574
EV_0174,634,12448,13082,8.406960,996,670
EV_0175,628,6257,6885,7.406597,2445,641
EV_0176,1370,1180,2550,0.005780,329,750
EV_0177,1060,9963,11023,8.059640,906,325
EV_0178,544,11545,12089,8.138770,2162,556
EV_0179,746,2402,3148,0.014630,2146,937
EV_0180,1346,13632,14978,4.226880,1446,318
EV_0181,956,21060,22016,10.149050,706,463
EV_0182,420,11831,12251,4.051740,281,717
EV_0183,368,11916,12284,8.981003,550,230
EV_0184,871,15343,16214,2.816360,2710,228
EV_0185,631,6495,7126,9.299840,1222,229
EV_0186,502,12458,12960,12.645840,880,763
EV_0187,1211,2079,3290,0.006860,2282,883
EV_0188,1514,14384,15898,9.283263,2312,604
EV_0189,820,20189,21009,10.093810,2468,163
EV_0190,1522,19084,20606,4.054440,2119,800
EV_0191,1274,13196,14470,7.465035,1763,427
EV_0192,1411,4850,6261,13.122530,2123,876
EV_0193,877,11758,12635,4.862260,2141,530
EV_0194,964,9432,10396,6.374815,717,186
EV_0195,1268,1926,3194,0.008320,365,651
EV_0196,1166,5501,6667,12.408950,1532,776
EV_0197,617,9575,10192,8.855817,1125,615
EV_0198,360,1957,2317,0.007850,1076,787
EV_0199,410,9407,9817,0.895890,426,878
EV_0200,1452,12046,13498,5.383860,2774,177
EV_0201,1468,12498,13966,8.749880,1138,807
EV_0202,587,13934,14521,3.309557,1439,92
EV_0203,1010,10296,11306,11.282290,1717,394
EV_0204,1136,8291,9427,7.546890,2070,894
EV_0205,1170,11293,12463,5.391230,1489,802
EV_0206,1313,13196,14509,10.647270,960,950
EV_0207,1382,12834,14216,1.585050,2280,803
EV_0208,1260,19441,20701,2.494030,724,144
EV_0209,424,16715,17139,7.879380,552,825
EV_0210,936,1317,2253,0.014180,2289,592
EV_0211,700,12956,13656,7.686650,374,803
EV_0212,1201,11937,13138,7.270230,2759,902
EV_0213,1072,6313,7385,5.214470,1050,720
EV_0214,1461,15805,17266,8.026660,651,639
EV_0215,688,11174,11862,0.941960,1506,650
EV_0216,1493,2788,4281,2.094100,357,699
EV_0217,562,12662,13224,1.693250,555,106
EV_0218,1516,16689,18205,8.719180,268,166
EV_0219,1179,1114,2293,0.016830,1544,761
EV_0220,357,12831,13188,8.360727,1271,680
EV_0221,618,8018,8636,3.866010,1080,884
EV_0222,1046,2107,3153,0.013640,1104,207
EV_0223,1280,8643,9923,5.756930,1541,893
EV_0224,356,6466,6822,2.325060,2340,737
EV_0225,973,9529,10502,6.377393,512,389
EV_0226,1282,1876,3158,0.015090,2456,588
EV_0227,1414,7661,9075,7.600470,2178,81
EV_0228,1540,15157,16697,3.675000,946,721
EV_0229,1224,2106,3330,0.010080,2190,321
EV_0230,380,15168,15548,2.868590,412,103
EV_0231,678,8551,9229,1.507300,2800,738
EV_0232,522,14882,15404,7.071840,2617,794
EV_0233,404,10611,11015,9.557450,657,892
EV_0234,1328,1271,2599,0.012230,2354,974
EV_0235,429,1853,2282,0.016320,1921,702
EV_0236,501,2453,2954,0.007880,1452,855
EV_0237,520,13280,13800,4.296890,1195,663
EV_0238,844,13665,14509,7.698950,2639,587
EV_0239,978,1673,2651,0.013940,247,643
EV_0240,771,12671,13442,5.975113,1737,250
EV_0241,1422,11062,12484,6.204830,1622,652
EV_0242,799,2040,2839,5.300100,2354,794
EV_0243,633,12805,13438,2.350560,1899,167
EV_0244,364,15539,15903,7.384350,1036,941
EV_0245,762,19908,20670,5.676860,2349,560
EV_0246,794,11117,11911,6.758437,1962,310
EV_0247,518,1609,2127,0.009840,487,478
EV_0248,532,1619,2151,0.005220,1215,534
EV_0249,647,18761,19408,6.651530,2649,815
EV_0250,861,1047,1908,0.012370,2084,365
EV_0251,484,1227,1711,3.526070,1749,680
EV_0252,466,11789,12255,10.260310,2308,713
EV_0253,1431,8844,10275,8.194703,1374,444
EV_0254,793,9681,10474,0.501200,1271,387
EV_0255,1427,16508,17935,3.264270,550,770
EV_0256,1007,1702,2709,0.015740,2762,466
EV_0257,757,16583,17340,13.411050,1562,519
EV_0258,948,1708,2656,0.014680,1021,791
EV_0259,527,1484,2011,0.014600,621,543
EV_0260,935,9685,10620,4.750580,1659,301
EV_0261,1178,6909,8087,7.863250,2207,506
EV_0262,1007,20256,21263,2.244570,1831,813
EV_0263,562,18322,18884,5.054250,1861,871
EV_0264,899,12425,13324,6.866085,2067,438
EV_0265,747,6827,7574,9.232000,1509,665
EV_0266,654,13341,13995,6.870520,944,112
EV_0267,698,2214,2912,0.015580,2075,966
EV_0268,1056,7170,8226,4.606510,603,337
EV_0269,1222,11136,12358,9.040620,2174,655
EV_0270,607,5085,5692,1.573380,2715,595
EV_0271,542,7323,7865,5.584100,829,928
EV_0272,999,12816,13815,8.941970,2516,326
EV_0273,946,4797,5743,7.938320,1259,724
EV_0274,684,4931,5615,4.468910,2042,318
EV_0275,1257,8388,9645,9.630950,1784,543
EV_0276,1288,4024,5312,10.584670,510,86
EV_0277,908,13300,14208,4.111850,1539,977
EV_0278,1009,13726,14735,0.331160,354,828
EV_0279,366,9944,10310,2.659710,2320,290
EV_0280,1230,2371,3601,0.016290,609,739
EV_0281,1010,11238,12248,7.339450,1668,467
EV_0282,707,14116,14823,6.668630,980,197
EV_0283,1478,11211,12689,10.202460,1055,827
EV_0284,354,15017,15371,4.918360,304,591
EV_0285,1346,11308,12654,12.024020,2705,750
EV_0286,769,20757,21526,7.913830,912,555
EV_0287,1162,17091,18253,10.344953,265,560
EV_0288,1073,10663,11736,2.438280,598,112
EV_0289,456,9507,9963,9.505450,1629,968
EV_0290,977,2391,3368,0.006530,1908,419
EV_0291,1358,6773,8131,7.123157,326,611
EV_0292,1330,799,2129,8.516090,1282,141
EV_0293,1100,2168,3268,0.006870,460,232
EV_0294,653,9288,9941,8.319300,2188,483
EV_0295,450,12213,12663,11.148980,271,318
EV_0296,1182,20982,22164,8.529580,2066,400
EV_0297,1272,1989,3261,0.008940,2305,215
EV_0298,1381,3703,5084,11.197210,947,461
EV_0299,890,2462,3352,0.008490,557,94
EV_0300,1294,15543,16837,7.509577,2225,745
EV_0301,532,11247,11779,7.037710,2156,712
EV_0302,908,2856,3764,6.838427,1861,847
EV_0303,446,11326,11772,10.793390,1241,459
EV_0304,593,4364,4957,10.177120,2206,462
EV_0305,1396,12806,14202,5.005340,1287,222
EV_0306,1262,11599,12861,10.954940,313,462
EV_0307,544,19943,20487,9.532590,883,410
EV_0308,901,12945,13846,10.800980,310,661
EV_0309,1098,9481,10579,8.549677,2550,706
EV_0310,949,14921,15870,4.253720,1359,854
EV_0311,760,10132,10892,7.164920,2163,943
EV_0312,714,1763,2477,0.011300,1082,183
EV_0313,738,11453,12191,6.112990,270,649
EV_0314,1437,1038,2475,0.017800,2121,476
EV_0315,513,20320,20833,13.758870,2341,848
EV_0316,1288,15689,16977,4.814150,755,445
EV_0317,1456,18034,19490,11.166780,2048,716
EV_0318,898,12590,13488,6.262100,566,392
EV_0319,735,8537,9272,12.847320,1267,845
EV_0320,1230,5704,6934,8.584970,354,630
